Nm,Bm_N,Bm_S,Fm
603.0,235.0,235.0,5.98
604.0,242.0,216.0,5.85
606.0,236.0,225.0,5.87
609.0,241.0,226.0,5.93
611.0,241.0,215.0,5.86
615.0,236.0,232.0,5.98
617.0,237.0,230.0,5.88
618.0,231.0,234.0,5.95
622.0,237.0,227.0,5.91
628.0,240.0,219.0,5.91
630.0,240.0,222.0,5.91
632.0,242.0,222.0,5.93
636.0,234.0,232.0,5.94
639.0,235.0,233.0,5.94
641.0,238.0,225.0,5.83
643.0,245.0,222.0,5.94
644.0,233.0,230.0,5.92
648.0,237.0,234.0,5.96
651.0,240.0,221.0,5.85
652.0,233.0,230.0,5.94
654.0,234.0,234.0,5.93
658.0,235.0,225.0,5.89
662.0,237.0,223.0,5.86
671.0,232.0,231.0,5.94
674.0,240.0,219.0,5.91
676.0,236.0,232.0,5.98
678.0,238.0,226.0,5.92
679.0,234.0,218.0,5.8
681.0,242.0,218.0,5.89
682.0,235.0,231.0,5.96
685.0,239.0,218.0,5.86
687.0,237.0,218.0,5.85
691.0,230.0,229.0,5.9
693.0,236.0,229.0,5.87
698.0,246.0,209.0,5.8
7.0,230.0,227.0,5.83
700.0,233.0,231.0,5.97
704.0,234.0,231.0,5.92
705.0,234.0,230.0,5.93
709.0,237.0,233.0,5.84
712.0,235.0,224.0,5.87
713.0,240.0,218.0,5.85
714.0,230.0,231.0,5.93
762.0,245.0,215.0,5.88
767.0,241.0,223.0,5.9
769.0,234.0,226.0,5.93
770.0,242.0,214.0,5.84
771.0,245.0,213.0,5.89
772.0,242.0,220.0,5.89
774.0,232.0,227.0,5.91
777.0,244.0,223.0,5.97
779.0,245.0,216.0,5.88
781.0,243.0,221.0,5.91
783.0,232.0,229.0,5.94
785.0,231.0,230.0,5.92
790.0,243.0,214.0,5.8
792.0,237.0,224.0,5.9
85.0,242.0,216.0,5.85
86.0,234.0,227.0,5.89
87.0,234.0,226.0,5.91
88.0,235.0,229.0,5.92
89.0,244.0,223.0,5.96
9.0,237.0,225.0,5.91
90.0,238.0,218.0,5.82
92.0,242.0,226.0,5.97
95.0,235.0,228.0,5.91
96.0,233.0,230.0,5.91
97.0,241.0,220.0,5.92
98.0,248.0,219.0,5.89
99.0,233.0,232.0,5.91
163.0,218.0,244.0,5.91
166.0,223.0,238.0,5.87
182.0,232.0,233.0,5.86
193.0,233.0,235.0,5.89
199.0,220.0,242.0,5.89
205.0,220.0,242.0,5.89
228.0,231.0,230.0,5.85
235.0,219.0,249.0,5.96
236.0,220.0,242.0,5.87
362.0,223.0,238.0,5.85
462.0,227.0,239.0,5.88
499.0,212.0,241.0,5.82
500.0,225.0,233.0,5.91
502.0,221.0,239.0,5.8
554.0,216.0,243.0,5.87
564.0,225.0,240.0,5.87
571.0,229.0,235.0,5.94
573.0,225.0,241.0,5.91
592.0,217.0,242.0,5.91
612.0,220.0,243.0,5.92
620.0,232.0,238.0,5.95
621.0,220.0,247.0,5.94
627.0,232.0,233.0,5.9
649.0,222.0,237.0,5.85
664.0,220.0,244.0,5.85
677.0,224.0,247.0,5.9
680.0,217.0,245.0,5.93
684.0,228.0,233.0,5.95
702.0,232.0,238.0,5.99
773.0,224.0,243.0,5.92
778.0,230.0,234.0,5.94
794.0,231.0,234.0,5.94
795.0,231.0,236.0,6.0
2131.0,246.0,210.0,5.881889764
2583.0,246.0,217.0,5.866141732
1966.0,246.0,222.0,5.94488189
2591.0,245.0,220.0,5.937007874
2602.0,245.0,219.0,5.905511811
2104.0,244.0,225.0,5.960629921
2584.0,244.0,218.0,5.913385827
2587.0,244.0,221.0,5.921259843
2567.0,244.0,216.0,5.834645669
2569.0,244.0,221.0,5.905511811
2570.0,244.0,214.0,5.897637795
2120.0,243.0,215.0,5.818897638
2586.0,243.0,222.0,5.905511811
2579.0,243.0,216.0,5.858267717
2582.0,243.0,214.0,5.881889764
1951.0,243.0,231.0,5.960629921
2128.0,242.0,216.0,5.913385827
2130.0,242.0,224.0,5.905511811
2142.0,242.0,222.0,5.913385827
2107.0,242.0,224.0,5.921259843
2520.0,248.0,212.0,5.874015748
2495.0,244.0,217.0,5.897637795
2506.0,244.0,221.0,5.905511811
2492.0,243.0,225.0,5.94488189
2062.0,242.0,211.0,5.850393701
2096.0,238.0,223.0,5.866141732
2499.0,242.0,213.0,5.850393701
2075.0,242.0,226.0,5.913385827
2488.0,235.0,230.0,5.952755906
2081.0,234.0,233.0,5.984251969
27.0,233.0,229.0,5.89
2071.0,236.0,220.0,5.866141732
2484.0,234.0,233.0,5.937007874
2511.0,233.0,231.0,5.94488189
2515.0,233.0,231.0,5.929133858
2094.0,236.0,228.0,5.897637795
2078.0,236.0,225.0,5.834645669
2513.0,232.0,231.0,5.921259843
2099.0,231.0,231.0,5.921259843
2494.0,231.0,229.0,5.881889764
2091.0,243.0,211.0,5.858267717
2064.0,241.0,218.0,5.88976378
2082.0,240.0,219.0,5.88976378
2077.0,242.0,218.0,5.88976378
2088.0,240.0,222.0,5.921259843
2490.0,240.0,214.0,5.834645669
2083.0,239.0,217.0,5.881889764
2074.0,239.0,219.0,5.874015748
2059.0,232.0,230.0,5.921259843
2517.0,232.0,230.0,5.921259843
2519.0,245.0,221.0,5.929133858
17.0,233.0,236.0,5.96
108.0,220.0,236.0,5.83
121.0,231.0,234.0,5.91
100.0,221.0,242.0,5.91
118.0,220.0,233.0,5.8
104.0,224.0,238.0,5.91
101.0,224.0,237.0,5.91
140.0,220.0,244.0,5.94
151.0,217.0,242.0,5.87
110.0,225.0,243.0,5.97
122.0,232.0,235.0,5.94
2905.0,211.0,241.0,5.86
160.0,232.0,235.0,5.92
447.0,210.0,237.0,5.73
695.0,229.0,233.0,5.94
764.0,231.0,235.0,5.98
374.0,224.0,240.0,5.93
191.0,231.0,232.0,5.94
375.0,214.0,243.0,5.88
426.0,218.0,240.0,5.85
377.0,223.0,236.0,5.91
349.0,213.0,239.0,5.81
787.0,231.0,231.0,5.93
1.0,227.0,230.0,5.81
13.0,231.0,232.0,5.89
143.0,223.0,238.0,5.87
169.0,230.0,232.0,5.87
1877.0,211.0,249.0,5.92
14.0,222.0,232.0,5.85
555.0,214.0,238.0,5.8
116.0,233.0,234.0,5.95
1850.0,227.0,231.0,5.9
1855.0,218.0,242.0,5.87
1856.0,228.0,231.0,5.92
2907.0,227.0,233.0,5.91
1865.0,218.0,239.0,5.83
1868.0,233.0,232.0,5.97
1867.0,217.0,241.0,5.9
1889.0,230.0,232.0,5.95
1870.0,216.0,242.0,5.87
782.0,228.0,240.0,5.97
115.0,224.0,239.0,5.93
2910.0,219.0,242.0,5.9
1886.0,212.0,236.0,5.77
661.0,217.0,241.0,5.87
192.0,217.0,241.0,5.89
706.0,217.0,238.0,5.83
1884.0,231.0,234.0,5.96
567.0,215.0,241.0,5.85
217.0,222.0,242.0,5.87
453.0,219.0,237.0,5.8
357.0,216.0,235.0,5.8
144.0,226.0,243.0,5.95
224.0,221.0,237.0,5.85
129.0,224.0,233.0,5.9
491.0,220.0,239.0,5.88
180.0,232.0,233.0,5.93
608.0,216.0,242.0,5.88
548.0,224.0,240.0,5.89
358.0,233.0,233.0,5.97
776.0,225.0,241.0,5.92
675.0,230.0,232.0,5.92
4.0,219.0,246.0,5.87
234.0,223.0,245.0,5.92
103.0,217.0,234.0,5.8
758.0,234.0,234.0,5.98
579.0,221.0,236.0,5.85
204.0,232.0,236.0,5.93
574.0,227.0,236.0,5.86
126.0,225.0,240.0,5.95
2904.0,229.0,231.0,5.92
686.0,217.0,242.0,5.89
34.0,221.0,244.0,5.9
369.0,214.0,240.0,5.83
179.0,220.0,239.0,5.84
155.0,225.0,236.0,5.91
460.0,219.0,244.0,5.89
20.0,226.0,237.0,5.92
177.0,224.0,237.0,5.91
616.0,217.0,246.0,5.9
454.0,227.0,228.0,5.87
178.0,230.0,230.0,5.87
1859.0,226.0,238.0,5.89
339.0,216.0,242.0,5.89
168.0,213.0,250.0,5.88
161.0,233.0,237.0,5.94
488.0,228.0,234.0,5.9
30.0,226.0,239.0,5.92
478.0,222.0,239.0,5.86
195.0,226.0,241.0,5.9
392.0,214.0,241.0,5.86
655.0,219.0,245.0,5.85
495.0,229.0,230.0,5.91
353.0,229.0,234.0,5.94
765.0,220.0,243.0,5.91
449.0,215.0,237.0,5.79
467.0,216.0,240.0,5.84
688.0,217.0,242.0,5.91
350.0,219.0,240.0,5.86
448.0,222.0,228.0,5.8
2909.0,230.0,234.0,5.94
549.0,223.0,237.0,5.84
582.0,223.0,240.0,5.9
352.0,219.0,239.0,5.85
247.0,217.0,239.0,5.86
402.0,230.0,231.0,5.9
708.0,224.0,239.0,5.85
10.0,214.0,242.0,5.84
474.0,228.0,236.0,5.88
242.0,229.0,237.0,5.96
208.0,232.0,234.0,5.94
244.0,214.0,241.0,5.87
646.0,224.0,241.0,5.9
638.0,219.0,239.0,5.87
93.0,232.0,233.0,5.9
164.0,221.0,239.0,5.87
398.0,228.0,230.0,5.93
494.0,228.0,233.0,5.94
145.0,221.0,236.0,5.84
441.0,220.0,242.0,5.94
396.0,230.0,232.0,5.93
640.0,222.0,242.0,5.94
440.0,232.0,234.0,5.98
442.0,217.0,242.0,5.89
37.0,220.0,240.0,5.86
2903.0,217.0,240.0,5.9
625.0,221.0,238.0,5.87
231.0,231.0,234.0,5.97
206.0,234.0,238.0,5.98
348.0,219.0,237.0,5.81
796.0,220.0,240.0,5.86
669.0,231.0,232.0,5.95
94.0,221.0,240.0,5.89
766.0,218.0,242.0,5.9
415.0,221.0,237.0,5.85
547.0,222.0,238.0,5.88
468.0,220.0,236.0,5.8
241.0,214.0,246.0,5.85
381.0,227.0,229.0,5.82
165.0,219.0,246.0,5.89
128.0,231.0,233.0,5.9
404.0,218.0,235.0,5.77
556.0,210.0,245.0,5.88
565.0,228.0,233.0,5.91
342.0,228.0,229.0,5.86
433.0,211.0,244.0,5.83
699.0,224.0,237.0,5.87
422.0,223.0,235.0,5.89
690.0,219.0,237.0,5.8
417.0,220.0,236.0,5.83
757.0,219.0,241.0,5.92
791.0,222.0,240.0,5.88
490.0,221.0,241.0,5.86
602.0,229.0,232.0,5.94
130.0,220.0,235.0,5.84
663.0,221.0,242.0,5.92
613.0,231.0,232.0,5.98
432.0,215.0,235.0,5.73
647.0,224.0,241.0,5.92
594.0,227.0,230.0,5.85
653.0,232.0,231.0,5.86
451.0,221.0,234.0,5.81
464.0,224.0,239.0,5.88
1885.0,231.0,233.0,5.95
131.0,223.0,242.0,5.94
138.0,228.0,235.0,5.91
701.0,228.0,236.0,5.94
347.0,230.0,235.0,5.97
183.0,230.0,236.0,5.84
479.0,221.0,240.0,5.87
768.0,217.0,240.0,5.95
696.0,231.0,231.0,5.94
373.0,229.0,232.0,5.94
341.0,210.0,243.0,5.85
372.0,230.0,232.0,5.94
624.0,224.0,232.0,5.83
697.0,229.0,235.0,5.97
760.0,232.0,234.0,5.96
631.0,222.0,237.0,5.87
683.0,215.0,244.0,5.85
383.0,217.0,240.0,5.83
580.0,230.0,234.0,5.91
1860.0,215.0,241.0,6.07
650.0,220.0,241.0,5.85
1888.0,229.0,235.0,5.95
25.0,221.0,244.0,5.93
689.0,217.0,242.0,5.86
711.0,210.0,244.0,5.87
465.0,231.0,231.0,5.91
2901.0,232.0,233.0,5.99
789.0,213.0,244.0,5.88
91.0,220.0,245.0,5.93
114.0,221.0,233.0,5.84
170.0,228.0,239.0,5.96
106.0,230.0,235.0,5.91
635.0,223.0,245.0,5.95
1852.0,222.0,236.0,5.87
367.0,222.0,240.0,5.92
485.0,227.0,235.0,5.87
117.0,233.0,234.0,5.94
394.0,221.0,240.0,5.91
1866.0,213.0,245.0,5.91
111.0,230.0,232.0,5.91
23.0,221.0,243.0,5.94
338.0,222.0,236.0,5.82
670.0,229.0,234.0,5.96
692.0,214.0,242.0,5.82
710.0,217.0,241.0,5.85
1935.0,209.0,249.0,5.897637795
2604.0,215.0,246.0,5.88976378
2575.0,220.0,246.0,5.905511811
2117.0,218.0,246.0,5.88976378
2119.0,221.0,245.0,5.921259843
2574.0,222.0,243.0,5.913385827
2597.0,217.0,245.0,5.897637795
2593.0,221.0,244.0,5.905511811
2603.0,215.0,245.0,5.897637795
2568.0,219.0,244.0,5.929133858
2589.0,213.0,245.0,5.874015748
1936.0,216.0,244.0,5.897637795
2141.0,220.0,241.0,5.874015748
2596.0,217.0,243.0,5.905511811
1963.0,216.0,244.0,5.866141732
2126.0,228.0,238.0,5.921259843
2106.0,217.0,242.0,5.913385827
2138.0,222.0,241.0,5.842519685
2123.0,221.0,239.0,5.897637795
2566.0,225.0,244.0,5.929133858
2483.0,224.0,247.0,5.94488189
2510.0,220.0,246.0,5.905511811
2496.0,215.0,244.0,5.834645669
2491.0,211.0,245.0,5.88976378
2516.0,227.0,242.0,5.952755906
2079.0,217.0,242.0,5.88976378
2493.0,224.0,241.0,5.921259843
2508.0,221.0,241.0,5.897637795
2505.0,221.0,240.0,5.913385827
2098.0,227.0,236.0,5.897637795
2100.0,217.0,240.0,5.826771654
371.0,215.0,234.0,5.79
2509.0,232.0,235.0,5.976377953
2498.0,231.0,235.0,5.952755906
406.0,223.0,336.0,5.84
2080.0,232.0,234.0,5.913385827
2084.0,230.0,234.0,5.929133858
2095.0,231.0,234.0,5.874015748
2087.0,231.0,234.0,5.952755906
2487.0,232.0,233.0,5.921259843
2090.0,223.0,236.0,5.881889764
2066.0,231.0,233.0,5.937007874
2069.0,230.0,233.0,5.94488189
2065.0,230.0,232.0,5.921259843
2068.0,231.0,233.0,5.937007874
2502.0,231.0,232.0,5.921259843
2097.0,232.0,233.0,5.960629921
2072.0,228.0,230.0,5.913385827
2500.0,212.0,242.0,5.811023622
2482.0,214.0,242.0,5.850393701
2518.0,218.0,242.0,5.866141732
2497.0,221.0,242.0,5.913385827
2480.0,213.0,240.0,5.842519685
2092.0,218.0,240.0,5.818897638
2481.0,232.0,234.0,5.952755906
2093.0,230.0,232.0,5.913385827
2067.0,231.0,231.0,5.929133858
