Nm,Nm_pm,Bn,Bs,Bav,Fb,Fb_pm
1,1,227,230,228.5,5.81,7.38
2,3,243,222,232.5,5.93,
3,4,219,246,232.5,5.87,7.46
4,5,239,219,229.0,,
5,6,244,219,231.5,5.88,7.47
6,7,230,227,228.5,5.83,7.41
7,10,214,242,228.0,5.84,7.42
8,11,234,233,233.5,5.94,7.54
9,12,243,216,229.5,5.84,7.42
10,13,231,232,231.5,5.89,7.48
11,14,222,232,227.0,5.85,7.43
12,15,220,242,231.0,5.91,7.51
13,16,232,229,230.5,5.91,7.5
14,17,233,236,234.5,5.96,7.57
15,18,250,215,232.5,5.86,
16,18,249,215,232.0,5.87,7.45
17,21,232,224,228.0,5.86,7.44
18,22,223,239,231.0,5.89,7.48
19,23,221,243,232.0,5.94,
20,24,235,235,235.0,5.98,7.6
21,25,221,244,232.5,5.93,7.53
22,26,240,224,232.0,5.88,7.47
23,27,233,229,231.0,5.89,7.48
24,30,226,239,232.5,5.92,7.52
25,31,234,221,227.5,5.86,7.44
26,33,240,220,230.0,5.86,
27,34,221,244,232.5,5.9,7.49
28,37,220,240,230.0,5.86,7.44
29,38,239,218,228.5,5.88,
30,40,239,226,232.5,5.97,7.58
31,41,232,229,230.5,5.89,7.48
32,42,239,220,229.5,5.86,7.44
33,85,242,216,229.0,5.85,7.43
34,86,234,227,230.5,5.89,7.48
35,87,234,226,230.0,5.91,7.5
36,88,235,229,232.0,5.92,7.52
37,89,244,223,233.5,5.96,7.57
38,90,238,218,228.0,5.82,7.39
39,91,220,245,232.5,5.93,7.53
40,92,242,226,234.0,5.97,7.58
41,93,232,233,232.5,5.9,7.49
42,94,221,240,230.5,5.89,7.48
43,95,235,228,231.5,5.91,7.51
44,96,233,230,231.5,5.91,7.51
45,97,241,220,230.5,5.92,7.52
46,98,248,219,233.5,5.89,7.48
47,99,233,232,232.5,5.91,7.51
48,100,221,242,231.5,5.91,7.5
49,101,224,237,230.5,5.91,7.51
50,102,237,221,229.0,5.88,7.47
51,103,217,234,225.5,5.8,7.36
52,104,224,238,231.0,5.91,7.51
53,105,234,230,232.0,5.93,7.53
54,106,230,235,232.5,5.91,7.5
55,107,241,222,231.5,5.91,7.51
56,108,220,236,228.0,5.83,7.41
57,109,235,229,232.0,5.93,7.53
58,110,225,243,234.0,5.97,7.58
59,111,230,232,231.0,5.91,7.51
60,112,237,222,229.5,5.9,7.49
61,113,236,222,229.0,5.87,7.45
62,114,221,233,227.0,5.84,7.42
63,115,224,239,231.5,5.93,7.53
64,116,233,234,233.5,5.95,7.56
65,117,233,234,233.5,5.94,7.55
66,118,220,233,226.5,5.8,7.36
67,119,242,217,229.5,5.88,7.47
68,120,241,221,231.0,5.89,7.48
69,121,231,234,232.5,5.91,7.51
70,122,232,235,233.5,5.94,7.55
71,123,232,231,231.5,5.91,7.51
72,124,216,240,228.0,5.91,7.5
73,125,247,218,232.5,5.89,7.48
74,126,225,240,232.5,5.95,7.56
75,129,224,233,228.5,5.9,7.49
76,130,220,235,227.5,5.84,7.42
77,131,223,242,232.5,5.94,7.55
78,133,235,235,235.0,5.97,7.58
79,134,231,231,231.0,5.91,7.5
80,135,245,222,233.5,5.96,7.55
81,136,245,216,230.5,5.85,7.43
82,138,228,235,231.5,5.91,7.5
83,139,240,221,230.5,,
84,140,220,244,232.0,5.94,7.55
85,142,215,240,227.5,5.85,7.43
86,143,223,238,230.5,5.87,7.46
87,144,226,243,234.5,5.95,7.56
88,145,221,236,228.5,5.84,
89,146,236,224,230.0,5.85,
90,148,240,223,231.5,5.88,7.47
91,149,231,229,230.0,5.87,7.46
92,150,251,224,237.5,5.95,
93,151,217,242,229.5,5.87,7.46
94,153,241,218,229.5,5.86,
95,154,237,223,230.0,5.87,7.45
96,155,225,236,230.5,5.91,7.5
97,157,217,241,229.0,5.85,7.43
98,158,246,223,234.5,5.94,7.55
99,159,234,232,233.0,,
100,160,232,235,233.5,5.92,7.52
