Nm,Nm_pm,Bn,Bs,Bav,Fb
387,625,221,238,229.5,5.87
388,627,232,233,232.5,5.9
389,628,234,232,233.0,5.95
390,628,240,219,229.5,5.91
391,628,248,214,231.0,5.86
392,630,240,222,231.0,5.91
393,631,222,237,229.5,5.87
394,632,242,222,232.0,5.93
395,633,243,223,233.0,5.93
396,635,223,245,234.0,5.95
397,636,234,232,233.0,5.94
398,637,222,245,233.5,
399,638,219,239,229.0,5.87
400,640,222,242,232.0,5.94
401,641,238,225,231.5,5.83
402,643,245,222,233.5,5.94
403,644,233,230,231.5,5.92
404,646,224,241,232.5,5.9
405,647,224,241,232.5,5.92
406,648,237,234,235.5,5.96
407,649,222,237,229.5,5.85
408,650,220,241,230.5,5.85
409,651,240,221,230.5,5.85
410,652,233,230,231.5,5.94
411,653,232,231,231.5,5.86
412,654,234,234,234.0,5.93
413,655,219,245,232.0,5.85
414,656,222,245,233.5,5.93
415,661,217,241,229.0,5.87
416,662,237,223,230.0,5.86
417,663,221,242,231.5,5.92
418,664,220,244,232.0,5.85
419,669,231,232,231.5,5.95
420,670,229,234,231.5,5.96
421,671,232,231,231.5,5.94
422,672,238,235,236.5,5.89
423,673,230,231,230.5,5.91
424,674,240,219,229.5,5.91
425,675,230,232,231.0,5.92
426,676,236,232,234.0,5.98
427,677,224,247,235.5,5.9
428,678,238,226,232.0,5.92
429,679,234,218,226.0,5.8
430,680,217,245,231.0,5.93
431,681,242,218,230.0,5.89
432,682,235,231,233.0,5.96
433,683,215,244,229.5,5.85
434,684,228,233,230.5,5.95
435,685,239,218,228.5,5.86
436,686,217,242,229.5,5.89
437,687,237,218,227.5,5.85
438,688,217,242,229.5,5.91
439,689,217,242,229.5,5.86
440,690,219,237,228.0,5.8
441,691,230,229,229.5,5.9
442,692,214,242,228.0,5.82
443,693,236,229,232.5,5.87
444,696,231,231,231.0,5.94
445,697,229,235,232.0,5.97
446,698,246,209,227.5,5.8
447,700,233,231,232.0,5.97
448,701,228,236,232.0,5.94
449,702,232,238,235.0,5.99
450,703,236,232,234.0,5.88
451,704,234,231,232.5,5.92
452,705,234,230,232.0,5.93
453,706,217,238,227.5,5.83
454,708,224,239,231.5,5.85
455,710,217,241,229.0,5.85
456,711,210,244,227.0,5.87
457,712,235,224,229.5,5.87
458,713,240,218,229.0,5.85
459,714,230,231,230.5,5.93
460,757,219,241,230.0,5.92
461,758,234,234,234.0,5.98
462,760,232,234,233.0,5.96
463,761,219,242,230.5,5.87
464,762,245,215,230.0,5.88
465,763,236,214,225.0,5.75
466,764,231,235,233.0,5.98
467,765,220,243,231.5,5.91
468,766,218,242,230.0,5.9
469,767,241,223,232.0,5.9
470,768,217,240,228.5,5.95
471,769,234,226,230.0,5.93
472,770,242,214,228.0,5.84
473,771,244,212,228.0,5.9
474,771,245,213,229.0,5.89
475,772,242,220,231.0,5.89
476,773,224,243,233.5,5.92
477,774,232,227,229.5,5.91
478,775,230,233,231.5,5.94
479,776,225,241,233.0,5.92
480,777,244,223,233.5,5.97
481,778,230,234,232.0,5.94
482,779,245,216,230.5,5.88
483,781,243,221,232.0,5.91
484,782,228,240,234.0,5.97
485,783,232,229,230.5,5.94
486,785,231,230,230.5,5.92
487,787,231,231,231.0,5.93
488,789,213,244,228.5,5.88
489,790,243,214,228.5,5.8
490,791,222,240,231.0,5.88
491,792,237,224,230.5,5.9
492,794,231,234,232.5,5.94
493,795,231,236,233.5,6.0
494,796,220,240,230.0,5.86
495,1849,241,221,231.0,5.87
496,1850,227,231,229.0,5.9
497,1851,231,229,230.0,5.92
498,1852,222,236,229.0,5.87
499,1853,244,217,230.5,5.93
500,1854,230,229,229.5,5.94
501,1855,218,242,230.0,5.87
502,1856,228,231,229.5,5.92
503,1857,222,237,229.5,5.86
504,1858,230,227,228.5,5.88
505,1859,226,238,232.0,5.89
506,1860,215,241,228.0,6.07
507,1861,240,224,232.0,5.89
508,1862,231,233,232.0,5.84
509,1863,242,217,229.5,5.87
510,1864,233,223,228.0,5.87
511,1865,218,239,228.5,5.83
512,1866,213,245,229.0,5.91
513,1867,217,241,229.0,5.9
514,1868,233,232,232.5,5.97
515,1869,221,242,231.5,5.91
516,1870,216,242,229.0,5.87
517,1871,234,230,232.0,5.95
518,1872,245,218,231.5,5.93
519,1873,236,226,231.0,5.87
520,1874,231,231,231.0,5.98
521,1875,239,223,231.0,5.9
522,1876,241,219,230.0,5.91
523,1877,211,249,230.0,5.92
524,1878,237,218,227.5,5.85
525,1879,223,241,232.0,5.9
526,1880,240,216,228.0,5.83
527,1881,217,244,230.5,5.88
528,1882,237,224,230.5,5.9
529,1883,246,219,232.5,5.91
530,1884,231,234,232.5,5.96
531,1885,231,233,232.0,5.95
532,1886,212,236,224.0,5.77
533,1887,234,230,232.0,5.94
534,1888,229,235,232.0,5.95
535,1889,230,232,231.0,5.95
536,1890,243,221,232.0,5.96
537,2899,231,231,231.0,5.95
538,2900,244,212,228.0,5.89
539,2901,232,233,232.5,5.99
540,2902,244,221,232.5,5.94
541,2903,217,240,228.5,5.9
542,2904,229,231,230.0,5.92
543,2905,211,241,226.0,5.86
544,2906,243,219,231.0,5.9
545,2907,227,233,230.0,5.91
546,2908,246,219,232.5,5.94
547,2909,230,234,232.0,5.94
548,2910,219,242,230.5,5.9
549,709,237,233,235.0,5.84
550,695,229,233,231.0,5.94
551,770,242,214,228.0,5.84
552,447,210,237,223.5,5.73
553,606,236,225,230.5,5.87
554,623,219,242,230.5,5.87
555,639,235,233,234.0,5.94
556,699,224,237,230.5,5.87
557,135,245,222,233.5,5.94
558,371,214,233,223.5,5.76
559,550,242,222,232.0,5.9
560,451,221,234,227.5,5.81
561,590,233,232,232.5,5.97
562,404,218,235,226.5,5.77
563,361,235,223,229.0,5.83
564,584,223,239,231.0,5.87
565,137,233,229,231.0,5.91
566,32,222,237,229.5,5.86
567,9,237,225,231.0,5.91
568,190,213,240,226.5,5.81
569,128,231,233,232.0,5.9
570,20,226,237,231.5,5.92
571,658,235,225,230.0,5.89
572,786,218,241,229.5,5.86
573,615,236,232,234.0,5.98
574,798,218,238,228.0,5.86
575,703,236,232,234.0,5.87
576,337,230,233,231.5,5.94
