Nm1,Bm1_N,Bm1_S,Fm1,Nm2,Bm2_N,Bm2_S,Fm2,Bpair_N,Bpair_S,Fpair_N
2856,245,217,5.905511811,2529,217,245,5.897637795,348,348,11.8267716535433
2535,243,222,5.921259843,2546,216,240,5.866141732,346,346,11.8110236220472
2526,243,215,5.88976378,2844,219,245,5.897637795,347,349,11.8267716535433
2532,243,225,5.952755906,2533,226,242,5.94488189,349,348,11.9291338582677
2545,244,224,5.94488189,2531,214,246,5.88976378,346,349,11.8818897637795
2818,243,224,5.937007874,2843,225,239,5.913385827,348,346,11.8897637795276
2838,243,225,5.921259843,2854,217,242,5.874015748,346,347,11.8503937007874
2819,245,217,5.897637795,2548,223,242,5.921259843,350,345,11.8740157480315
2821,244,220,5.913385827,2837,215,245,5.88976378,347,347,11.8503937007874
2850,242,219,5.984251969,2537,227,245,5.960629921,348,347,11.8976377952756
2815,241,227,5.913385827,2541,221,239,5.866141732,345,344,11.8346456692913
2131,246,210,5.881889764,1935,209,249,5.897637795,348,351,11.81102362
2583,246,217,5.866141732,2604,215,246,5.88976378,349,350,11.81889764
1966,246,222,5.94488189,2575,220,246,5.905511811,350,352,11.90551181
2591,245,220,5.937007874,2117,218,246,5.88976378,350,351,11.88976378
2602,245,219,5.905511811,2119,221,245,5.921259843,349,349,11.88188976
2104,244,225,5.960629921,2574,222,243,5.913385827,349,348,11.92125984
2584,244,218,5.913385827,2597,217,245,5.897637795,348,349,11.85826772
2587,244,221,5.921259843,2593,221,244,5.905511811,348,348,11.88188976
2567,244,216,5.834645669,2603,215,245,5.897637795,347,347,11.78740157
2569,244,221,5.905511811,2568,219,244,5.929133858,348,348,11.88976378
2570,244,214,5.897637795,2589,213,245,5.874015748,347,349,11.81889764
2120,243,215,5.818897638,1936,216,244,5.897637795,347,346,11.77952756
2586,243,222,5.905511811,2141,220,241,5.874015748,347,346,11.84251969
2579,243,216,5.858267717,2596,217,243,5.905511811,345,345,11.79527559
2582,243,214,5.881889764,1963,216,244,5.866141732,346,347,11.79527559
1951,243,231,5.960629921,2126,228,238,5.921259843,348,345,11.92125984
2128,242,216,5.913385827,2106,217,242,5.913385827,345,346,11.85826772
2130,242,224,5.905511811,2138,222,241,5.842519685,346,345,11.80314961
2142,242,222,5.913385827,2123,221,239,5.897637795,348,345,11.88188976
2107,242,224,5.921259843,2566,225,244,5.929133858,347,350,11.91338583
2840,245,227,5.968503937,2483,224,247,5.94488189,350,353,11.9291338582677
2555,243,219,5.897637795,2562,215,247,5.874015748,347,352,11.8267716535433
370,245,209,5.84,168,213,250,5.88,349,352,11.75
2544,245,223,5.960629921,2510,220,246,5.905511811,349,351,11.8897637795276
345,242,211,5.85,616,217,246,5.9,348,350,11.77
2526,243,215,5.88976378,2844,219,245,5.897637795,347,349,11.8267716535433
2545,244,224,5.94488189,2531,214,246,5.88976378,346,349,11.8818897637795
2520,248,212,5.874015748,2561,210,248,5.897637795,350,349,11.7952755905512
2856,245,217,5.905511811,2529,217,245,5.897637795,348,348,11.8267716535433
2532,243,225,5.952755906,2533,226,242,5.94488189,349,348,11.9291338582677
1924,241,217,5.850393701,2529,217,245,5.897637795,343,348,11.8031496062992
2495,244,217,5.897637795,2496,215,244,5.834645669,346,348,11.755905511811
1853,244,217,5.93,1855,218,242,5.87,349,348,11.8582677165354
2838,243,225,5.921259843,2854,217,242,5.874015748,346,347,11.8503937007874
2821,244,220,5.913385827,2837,215,245,5.88976378,347,347,11.8503937007874
2850,242,219,5.984251969,2537,227,245,5.960629921,348,347,11.8976377952756
1916,242,216,5.905511811,1927,217,241,5.826771654,345,347,11.7716535433071
2506,244,221,5.905511811,1925,217,244,5.897637795,347,347,11.8346456692913
399,241,209,5.8,680,217,245,5.93,345,347,11.75
459,244,216,5.91,163,218,244,5.91,349,347,11.8425196850394
698,246,209,5.8,341,210,243,5.85,351,347,11.7637795275591
681,242,218,5.89,199,220,242,5.89,347,347,11.81
604,242,216,5.85,433,211,244,5.83,343,347,11.73
1890,243,221,5.96,217,222,242,5.87,350,347,11.8740157480315
2535,243,222,5.921259843,2546,216,240,5.866141732,346,346,11.8110236220472
2818,243,224,5.937007874,2843,225,239,5.913385827,348,346,11.8897637795276
2492,243,225,5.94488189,1895,221,240,5.866141732,347,346,11.8267716535433
2062,242,211,5.850393701,2491,211,245,5.88976378,343,346,11.7637795275591
1929,241,233,5.905511811,1904,232,239,5.881889764,348,346,11.8267716535433
2849,243,213,5.881889764,2853,211,243,5.842519685,346,346,11.755905511811
2096,238,223,5.866141732,2516,227,242,5.952755906,344,346,11.8503937007874
12,243,216,5.84,151,217,242,5.87,349,346,11.7322834645669
2908,246,219,5.94,369,214,240,5.83,349,346,11.8110236220472
425,243,215,5.86,10,214,242,5.84,345,346,11.7322834645669
1863,242,217,5.87,1867,217,241,5.9,348,346,11.8267716535433
2819,245,217,5.897637795,2548,223,242,5.921259843,350,345,11.8740157480315
1912,243,216,5.88976378,1922,216,242,5.866141732,346,345,11.8110236220472
2847,243,231,5.968503937,2851,227,240,5.913385827,349,345,11.9055118110236
2499,242,213,5.850393701,2079,217,242,5.88976378,346,345,11.7795275590551
1908,242,217,5.881889764,1898,216,241,5.874015748,346,345,11.7952755905512
2075,242,226,5.913385827,2493,224,241,5.921259843,347,345,11.8503937007874
2842,241,221,5.897637795,2508,221,241,5.897637795,345,345,11.8110236220472
3,243,222,5.93,179,220,239,5.84,349,345,11.7716535433071
443,233,232,5.98,242,229,237,5.96,343,345,11.9527559055118
583,236,231,5.97,468,220,236,5.8,340,345,11.7952755905512
504,240,211,5.82,442,217,242,5.89,346,345,11.748031496063
1880,240,216,5.83,192,217,241,5.89,344,345,11.740157480315
2560,242,218,5.834645669,2556,224,242,5.937007874,347,344,11.8346456692913
2815,241,227,5.913385827,2541,221,239,5.866141732,345,344,11.8346456692913
2522,241,219,5.881889764,2505,221,240,5.913385827,347,344,11.8188976377953
2521,236,230,5.968503937,2098,227,236,5.897637795,342,344,11.8818897637795
42,239,220,5.86,352,219,239,5.85,343,344,11.7086614173228
153,241,218,5.86,426,218,240,5.85,346,344,11.7795275590551
403,241,212,5.79,688,217,242,5.91,345,344,11.7322834645669
2832,241,220,5.897637795,2100,217,240,5.826771654,343,343,11.748031496063
469,239,221,5.87,164,221,239,5.87,344,343,11.740157480315
639,235,233,5.94,371,215,234,5.79,339,343,11.748031496063
2824,235,232,5.968503937,2523,231,235,5.952755906,342,342,11.9448818897638
2530,243,219,5.874015748,1901,218,240,5.881889764,347,342,11.8110236220472
2488,235,230,5.952755906,2509,232,235,5.976377953,342,342,11.9370078740157
1896,234,230,5.937007874,2553,231,235,5.94488189,341,342,11.8897637795276
2081,234,233,5.984251969,2817,231,234,5.94488189,341,342,11.9842519685039
1921,233,230,5.921259843,2498,231,235,5.952755906,340,342,11.9291338582677
27,233,229,5.89,406,223,336,5.84,338,342,11.7322834645669
379,234,216,5.78,30,226,239,5.92,340,342,11.7165354330709
446,241,213,5.8,244,214,241,5.87,344,342,11.7086614173228
568,232,231,5.92,182,232,233,5.86,341,342,11.9291338582677
578,239,223,5.85,415,221,237,5.85,343,342,11.7322834645669
475,236,226,5.87,362,223,238,5.85,341,342,11.73
2557,236,228,5.929133858,2558,231,234,5.960629921,343,341,11.9212598425197
2071,236,220,5.866141732,1915,223,238,5.881889764,340,341,11.7795275590551
1897,234,234,5.984251969,2080,232,234,5.913385827,340,341,11.9055118110236
1900,234,228,5.952755906,2084,230,234,5.929133858,342,341,11.9055118110236
2534,234,231,5.960629921,2095,231,234,5.874015748,339,341,11.8425196850394
2836,234,231,5.937007874,2087,231,234,5.952755906,341,341,11.9370078740157
2846,234,232,5.952755906,2816,230,234,5.937007874,341,341,11.9448818897638
2484,234,233,5.937007874,2487,232,233,5.921259843,341,341,11.9133858267717
1907,233,229,5.913385827,1899,234,235,5.992125984,342,341,11.9606299212598
1926,233,232,5.968503937,2528,233,234,5.952755906,339,341,11.9685039370079
2511,233,231,5.94488189,337,230,233,5.94,341,341,11.9055118110236
2515,233,231,5.929133858,2542,231,234,5.952755906,340,341,11.9133858267717
102,237,221,5.88,108,220,236,5.83,342,341,11.740157480315
197,236,223,5.88,357,216,235,5.8,340,341,11.7165354330709
412,236,224,5.83,549,223,237,5.84,342,341,11.7007874015748
658,235,225,5.89,451,221,234,5.81,340,341,11.748031496063
1878,237,218,5.85,1886,212,236,5.77,341,341,11.6850393700787
2094,236,228,5.897637795,1902,226,235,5.937007874,343,340,11.8661417322835
2078,236,225,5.834645669,2090,223,236,5.881889764,340,340,11.740157480315
2547,234,233,5.960629921,2066,231,233,5.937007874,341,340,11.9448818897638
2839,234,229,5.929133858,2069,230,233,5.94488189,342,340,11.9291338582677
1903,233,230,5.913385827,2841,232,234,5.960629921,341,340,11.9212598425197
1931,232,232,5.952755906,2062,242,211,5.850393701,339,340,11.9291338582677
2539,232,232,5.94488189,2065,230,232,5.921259843,339,340,11.9133858267717
2513,232,231,5.921259843,2845,232,233,5.952755906,339,340,11.9291338582677
2835,233,231,5.937007874,2068,231,233,5.937007874,340,340,11.9291338582677
21,232,224,5.86,180,232,233,5.93,342,340,11.7952755905512
86,234,227,5.89,114,221,233,5.84,339,340,11.755905511811
109,235,229,5.93,118,220,233,5.8,339,340,11.748031496063
181,234,231,5.91,14,222,232,5.85,340,340,11.6850393700787
641,238,225,5.83,130,220,235,5.84,343,340,11.7322834645669
1851,231,229,5.92,1850,227,231,5.9,338,340,11.8661417322835
1906,232,230,5.94488189,2502,231,232,5.921259843,339,339,11.9212598425197
2829,233,231,5.94488189,2097,232,233,5.960629921,341,339,11.9527559055118
175,231,229,5.86,169,230,232,5.87,339,339,11.7637795275591
693,236,229,5.87,373,229,232,5.94,344,339,11.8503937007874
2099,231,231,5.921259843,1909,229,231,5.94488189,338,338,11.8976377952756
691,230,229,5.9,696,231,231,5.94,338,338,11.8661417322835
2855,239,215,5.834645669,1914,220,236,5.858267717,342,337,11.748031496063
2538,231,230,5.897637795,2550,229,231,5.881889764,337,337,11.8346456692913
2494,231,229,5.881889764,2072,228,230,5.913385827,337,336,11.8503937007874
1910,244,220,5.921259843,2500,212,242,5.811023622,344,346,11.7874015748031
2827,244,220,5.88976378,2482,214,242,5.850393701,348,346,11.8188976377953
2091,243,211,5.858267717,2833,211,244,5.866141732,345,346,11.7874015748031
2064,241,218,5.88976378,2518,218,242,5.866141732,343,345,11.8188976377953
2082,240,219,5.88976378,623,219,242,5.87,342,346,11.8188976377953
2077,242,218,5.88976378,761,219,242,5.87,346,348,11.8503937007874
2525,242,221,5.905511811,2497,221,242,5.913385827,345,345,11.8661417322835
2088,240,222,5.921259843,2831,225,242,5.937007874,345,347,11.9291338582677
2490,240,214,5.834645669,786,218,241,5.86,342,342,11.7637795275591
2083,239,217,5.881889764,2480,213,240,5.842519685,341,343,11.7795275590551
2074,239,219,5.874015748,2092,218,240,5.818897638,341,344,11.755905511811
703,236,232,5.87,2481,232,234,5.952755906,344,339,11.8976377952756
1892,233,230,5.937007874,2093,230,232,5.913385827,339,340,11.9055118110236
2524,233,232,5.937007874,1932,233,232,5.952755906,340,338,11.9370078740157
2059,232,230,5.921259843,2822,229,232,5.921259843,339,339,11.8897637795276
2517,232,230,5.921259843,1928,230,231,5.921259843,339,338,11.8897637795276
